,night.mmdd,site,count_small,count_medium-small,count_medium-large,count_large
0,611,WS1,57,74,4,5
1,620,WS1,39,40,7,7
2,628,WS1,28,23,7,6
3,705,WS1,44,11,5,0
4,712,WS1,28,23,3,0
5,720,WS1,20,10,2,0
6,724,WS1,15,6,4,1
7,802,WS1,15,5,1,0
8,816,WS1,42,14,1,0
9,819,WS1,44,9,2,0
10,904,WS1,30,7,0,0
11,909,WS1,28,14,1,0
12,923,WS1,25,9,1,0
13,930,WS1,8,6,1,0
14,611,WS4,41,37,4,6
15,628,WS4,11,15,3,1
16,705,WS4,71,15,2,2
17,712,WS4,58,18,5,1
18,720,WS4,29,7,1,0
19,724,WS4,53,15,0,0
20,819,WS4,29,11,0,0
21,904,WS4,44,9,1,0
22,909,WS4,28,14,1,0
23,923,WS4,11,8,1,0
24,930,WS4,6,12,1,0
25,611,WS5,74,80,6,9
26,620,WS5,52,33,7,4
27,628,WS5,34,25,4,2
28,705,WS5,45,16,2,0
29,712,WS5,49,17,3,0
30,720,WS5,40,11,1,0
31,724,WS5,43,20,2,0
32,816,WS5,26,16,1,0
33,819,WS5,37,14,2,0
34,923,WS5,14,3,1,0
35,930,WS5,9,5,0,0
36,628,WS6low,45,29,8,3
37,705,WS6low,53,23,7,1
38,720,WS6low,17,5,1,0
39,724,WS6low,25,10,1,0
40,802,WS6low,12,9,1,0
41,904,WS6low,13,2,0,0
42,909,WS6low,17,9,1,0
43,923,WS6low,16,8,1,0
44,930,WS6low,3,6,1,0
45,611,WS6up,29,41,5,7
46,620,WS6up,44,35,6,5
47,628,WS6up,19,12,3,1
48,705,WS6up,53,15,5,1
49,724,WS6up,12,7,4,0
50,802,WS6up,8,2,1,0
51,816,WS6up,12,16,3,0
52,923,WS6up,10,7,7,0
